#,,Building Name,City,Height (m),Height (ft),Floors,Completion,Material,Use
157,,The Pavilia Bay Tower 2,Hong Kong (CN),174,571,48,2018,concrete,residential
158,,Metro Plaza Tower I,Hong Kong (CN),173.9,571,47,1992,concrete,office
159,,Enterprise Square 5 / MegaBOX,Hong Kong (CN),173,568,35,2007,,office / retail
160,,Queen's Garden,Hong Kong (CN),172.7,567,34,1992,concrete,residential
161,,The ONE,Hong Kong (CN),172.1,565,24,2010,steel/concrete,retail
162,,The Dynasty 1,Hong Kong (CN),172,564,50,2009,concrete,residential / retail
162,,The Dynasty 2,Hong Kong (CN),172,564,50,2009,concrete,residential / retail
164,,"Peregrine Tower, Lippo Centre",Hong Kong (CN),172,564,44,1988,,office
165,,Dorset House/PCCW Tower,Hong Kong (CN),172,564,42,1994,,office
166,,Vianni Cove 1,Hong Kong (CN),171.6,563,51,2003,concrete,residential
167,,Ocean Shores Tower 11-13,Hong Kong (CN),171.4,562,57,2003,concrete,residential
168,,Metro Harbourview 1,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 10,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 2,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 3,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 4,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 5,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 6,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 7,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 8,Hong Kong (CN),171,561,50,2003,concrete,residential
168,,Metro Harbourview 9,Hong Kong (CN),171,561,50,2003,concrete,residential
178,,Festival City I Tower 2,Hong Kong (CN),170.4,559,51,2010,concrete,residential
178,,Festival City I Tower 3,Hong Kong (CN),170.4,559,51,2010,concrete,residential
180,,L'Hotel Nina Tower,Hong Kong (CN),170.4,559,42,2006,concrete,hotel
181,,Arezzo,Hong Kong (CN),170,558,48,2015,concrete,residential
182,,Festival City II Tower 5,Hong Kong (CN),170,558,55,2010,concrete,residential
183,,Festival City II Tower 3,Hong Kong (CN),170,558,54,2010,concrete,residential
184,,Langham Place Hotel,Hong Kong (CN),169.8,557,42,2004,concrete,hotel
185,,Albany Cove 6,Hong Kong (CN),169.5,556,54,2004,concrete,residential
185,,Albany Cove 7,Hong Kong (CN),169.5,556,54,2004,concrete,residential
185,,Albany Cove 8,Hong Kong (CN),169.5,556,54,2004,concrete,residential
185,,Caribbean Coast 10,Hong Kong (CN),169.5,556,54,2005,concrete,residential
185,,Caribbean Coast 11,Hong Kong (CN),169.5,556,54,2005,concrete,residential
185,,Caribbean Coast 12,Hong Kong (CN),169.5,556,54,2005,concrete,residential
185,,Caribbean Coast 13,Hong Kong (CN),169.5,556,54,2005,concrete,residential
185,,Caribbean Coast 15,Hong Kong (CN),169.5,556,54,2005,concrete,residential
185,,Caribbean Coast 9,Hong Kong (CN),169.5,556,54,2005,concrete,residential
185,,Monterey Cove 2,Hong Kong (CN),169.5,556,54,2003,concrete,residential
185,,Monterey Cove 3,Hong Kong (CN),169.5,556,54,2003,concrete,residential
185,,Monterey Cove 5,Hong Kong (CN),169.5,556,54,2003,concrete,residential
197,,Oscar by the Sea Tower 8,Hong Kong (CN),169.5,556,57,2002,concrete,residential
198,,Summit Terrace 3,Hong Kong (CN),169,554,47,2003,concrete,residential
198,,Summit Terrace 5,Hong Kong (CN),169,554,47,2003,concrete,residential
200,,"Shell Tower, Times Square",Hong Kong (CN),168.8,554,39,1993,concrete,office / retail
201,,"The Avenue Phase 2, T2",Hong Kong (CN),168.7,553,43,2015,concrete,residential
201,,"The Avenue Phase 2, T3",Hong Kong (CN),168.7,553,43,2015,concrete,residential
203,,Residence Oasis 1,Hong Kong (CN),168.3,552,55,2005,concrete,residential
203,,Residence Oasis 2,Hong Kong (CN),168.3,552,55,2005,concrete,residential
203,,Residence Oasis 3,Hong Kong (CN),168.3,552,55,2005,concrete,residential
206,,The Grandiose 1,Hong Kong (CN),168,551,55,2006,concrete,residential
206,,The Grandiose 2,Hong Kong (CN),168,551,55,2006,concrete,residential
206,,The Grandiose 3,Hong Kong (CN),168,551,55,2006,concrete,residential
209,,Hong Kong Plaza,Hong Kong (CN),168,551,43,1984,,office
210,,Park Central 1,Hong Kong (CN),167.9,551,54,2002,concrete,residential
210,,Park Central 12,Hong Kong (CN),167.9,551,54,2002,concrete,residential
210,,Park Central 13,Hong Kong (CN),167.9,551,54,2003,concrete,residential
210,,Park Central 2,Hong Kong (CN),167.9,551,54,2002,concrete,residential
210,,Park Central 3,Hong Kong (CN),167.9,551,54,2002,concrete,residential
210,,Park Central 5,Hong Kong (CN),167.9,551,54,2002,concrete,residential
210,,Park Central 6,Hong Kong (CN),167.9,551,54,2002,concrete,residential
217,,Oscar by the Sea Tower 6,Hong Kong (CN),167.8,551,58,2002,concrete,residential
217,,Oscar by the Sea Tower 7,Hong Kong (CN),167.8,551,58,2002,concrete,residential
219,,Festival City I Tower 1,Hong Kong (CN),167.3,549,49,2010,concrete,residential
219,,Festival City I Tower 5,Hong Kong (CN),167.3,549,49,2010,concrete,residential
221,,The Latitude Tower 6,Hong Kong (CN),167,548,48,2010,concrete,residential
221,,The Latitude Tower 7,Hong Kong (CN),167,548,48,2010,concrete,residential
221,,The Latitude Tower 8,Hong Kong (CN),167,548,48,2010,concrete,residential
224,,The Latitude Tower 1,Hong Kong (CN),167,548,45,2010,concrete,residential
224,,The Latitude Tower 2,Hong Kong (CN),167,548,45,2010,concrete,residential
226,,Festival City II Tower 1,Hong Kong (CN),167,548,52,2010,concrete,residential
226,,Festival City II Tower 2,Hong Kong (CN),167,548,52,2010,concrete,residential
228,,Asia Pacific Finance Tower,Hong Kong (CN),166.7,547,39,1992,concrete,office
229,,Tierra Verde Tower 10-12,Hong Kong (CN),166.7,547,52,2000,concrete,residential
230,,The Palazzo,Hong Kong (CN),166.2,545,38,2010,concrete,residential / retail
231,,Summit Terrace 2,Hong Kong (CN),166,545,46,2003,concrete,residential
232,,La Cite Noble Tower 3,Hong Kong (CN),165.8,544,49,1999,concrete,residential
233,,Park Central 11,Hong Kong (CN),165.2,542,53,2002,concrete,residential
234,,The Serenade Tower 1,Hong Kong (CN),165.1,542,52,2010,concrete,residential
234,,The Serenade Tower 2,Hong Kong (CN),165.1,542,52,2010,concrete,residential
236,,Residence Oasis 5,Hong Kong (CN),165,541,54,2005,concrete,residential
236,,Residence Oasis 6,Hong Kong (CN),165,541,54,2005,concrete,residential
236,,Residence Oasis 7,Hong Kong (CN),165,541,54,2005,concrete,residential
239,,Four Seasons Hotel Hong Kong,Hong Kong (CN),165,541,42,2005,concrete,hotel
240,,Lime Stardom,Hong Kong (CN),165,541,37,2011,concrete,residential
241,,Grand Hyatt Serviced Apartments,Hong Kong (CN),164.9,541,46,1990,,serviced apartments
242,,Sky Tower 1-2,Hong Kong (CN),164.7,540,52,2004,concrete,residential
242,,Sky Tower 3-7,Hong Kong (CN),164.7,540,52,2004,concrete,residential
244,,J.W. Marriott and The Upper House,Hong Kong (CN),164.5,540,50,1988,,hotel
245,,The Gloucester,Hong Kong (CN),164.2,539,41,2013,concrete,residential
246,,Seaview Crescent 5,Hong Kong (CN),164,538,53,2003,concrete,residential
247,,Verbena Heights 3-6,Hong Kong (CN),163.8,537,52,1997,concrete,residential
248,,Monterey Cove 1,Hong Kong (CN),163.6,537,52,2003,concrete,residential
249,,Upton,Hong Kong (CN),163.4,536,43,2015,concrete,residential
250,,One Pacific Heights,Hong Kong (CN),163.4,536,39,2009,,residential
251,,La Cite Noble Tower 1,Hong Kong (CN),163,535,48,1999,concrete,residential
251,,La Cite Noble Tower 4,Hong Kong (CN),163,535,48,1999,concrete,residential
251,,La Cite Noble Tower 6,Hong Kong (CN),163,535,48,1999,concrete,residential
254,,Island Crest Tower 1,Hong Kong (CN),162.8,534,46,2009,,residential
254,,Island Crest Tower 2,Hong Kong (CN),162.8,534,46,2009,,residential
256,,Park Central 10,Hong Kong (CN),162.4,533,52,2002,concrete,residential
256,,Park Central 7,Hong Kong (CN),162.4,533,52,2002,concrete,residential
256,,Park Central 8,Hong Kong (CN),162.4,533,52,2002,concrete,residential
256,,Park Central 9,Hong Kong (CN),162.4,533,52,2002,concrete,residential
260,,Banyan Garden 1,Hong Kong (CN),162.4,533,47,2003,concrete,residential
260,,Banyan Garden 8,Hong Kong (CN),162.4,533,47,2003,concrete,residential
262,,118 Connaught Road West,Hong Kong (CN),162,531,40,1994,,office
263,,One Pacific Place,Hong Kong (CN),161.8,531,40,1988,,office
264,,Seaview Crescent 1-3,Hong Kong (CN),161,528,52,2003,concrete,residential
265,,"Coastal Skyline 1-3,5-6, Tung Chung",Hong Kong (CN),161,528,50,2002,concrete,residential
265,,"Coastal Skyline 7-8, Tung Chung",Hong Kong (CN),161,528,50,2004,concrete,residential
267,,Les Saisons,Hong Kong (CN),160.1,525,50,2002,concrete,residential
268,,Metropolis 1,Hong Kong (CN),160.1,525,50,2005,concrete,residential
268,,Metropolis 2,Hong Kong (CN),160.1,525,50,2005,concrete,residential
268,,Metropolis 3,Hong Kong (CN),160.1,525,50,2005,concrete,residential
268,,Metropolis 5,Hong Kong (CN),160.1,525,50,2005,concrete,residential
272,,Belcher's Hill,Hong Kong (CN),160,525,49,2011,concrete,residential
273,,City Point Tower 1,Hong Kong (CN),160,525,48,2015,concrete,residential
273,,City Point Tower 2,Hong Kong (CN),160,525,48,2015,concrete,residential
273,,City Point Tower 3,Hong Kong (CN),160,525,48,2015,concrete,residential
276,,Island Lodge,Hong Kong (CN),160,525,45,2009,concrete,residential
277,,One Peking Road,Hong Kong (CN),160,525,30,2003,composite,office
278,,One Wanchai,Hong Kong (CN),159.7,524,42,2012,concrete,residential
279,,The Landmark Gloucester Tower,Hong Kong (CN),159.4,523,46,1980,concrete,office
280,,The Landmark Edinburgh Tower,Hong Kong (CN),159.4,523,45,1983,concrete,hotel / office
281,,Dynasty Court Tower 1-2,Hong Kong (CN),159,522,47,1991,concrete,residential
282,,Cambridge House,Hong Kong (CN),159,522,36,2003,,office
283,,Galaxia Tower 2,Hong Kong (CN),158.3,519,52,1998,concrete,residential
283,,Galaxia Tower 3,Hong Kong (CN),158.3,519,52,1998,concrete,residential
283,,Galaxia Tower 5,Hong Kong (CN),158.3,519,52,1998,concrete,residential
286,,148 Electric Road,Hong Kong (CN),158,518,41,2001,,office
287,,SOHO 189,Hong Kong (CN),157.9,518,-,2012,,residential
288,,Century Gateway 1,Hong Kong (CN),157.7,517,44,2014,concrete,residential
289,,La Cite Noble Tower 2,Hong Kong (CN),157.4,516,46,1999,concrete,residential
289,,La Cite Noble Tower 5,Hong Kong (CN),157.4,516,46,1999,concrete,residential
291,,The Forest Hills,Hong Kong (CN),157.3,516,48,2008,,residential
292,,Century Gateway 5,Hong Kong (CN),157.3,516,43,2014,concrete,residential
293,,Park Towers One,Hong Kong (CN),157.1,515,51,1989,concrete,residential
294,,City Point Tower 5,Hong Kong (CN),157,515,47,2015,concrete,residential
294,,City Point Tower 6,Hong Kong (CN),157,515,47,2015,concrete,residential
296,,Summit Terrace 1,Hong Kong (CN),157,515,43,2003,concrete,residential
297,,Le Sommet,Hong Kong (CN),156.8,514,50,2000,concrete,residential
298,,"Ellery Terrace, Kowloon",Hong Kong (CN),156.5,513,45,2000,concrete,residential
299,,Liberte 7,Hong Kong (CN),156.4,513,44,2003,concrete,residential
300,,China Merchants Tower,Hong Kong (CN),156,512,38,1985,composite,office
300,,Shun Tak Centre West,Hong Kong (CN),156,512,38,1985,composite,office
302,,Sunlight Tower,Hong Kong (CN),155.9,512,40,1999,steel,office
303,,Park Avenue Towers 6-10,Hong Kong (CN),155.6,510,51,2000,concrete,residential
304,,Galaxia Tower 1,Hong Kong (CN),155.3,509,51,1998,concrete,residential
304,,Galaxia Tower 6,Hong Kong (CN),155.3,509,51,1998,concrete,residential
306,,Henley Building,Hong Kong (CN),155.1,509,36,1998,,office
307,,Bank of Communications Tower,Hong Kong (CN),155,509,33,1996,concrete,office
308,,Imperial Court Block C,Hong Kong (CN),154.5,507,52,1996,,residential
309,,Li Po Chun Chambers,Hong Kong (CN),154.4,506,31,1995,,office
310,,Metro City I Tower 3,Hong Kong (CN),153.9,505,43,1996,concrete,residential
310,,Metro City I Tower 4,Hong Kong (CN),153.9,505,43,1996,concrete,residential
310,,Metro City I Tower 5,Hong Kong (CN),153.9,505,43,1996,concrete,residential
310,,Metro City I Tower 6,Hong Kong (CN),153.9,505,43,1996,concrete,residential
314,,Metro City I Tower 1,Hong Kong (CN),153.9,505,42,1996,concrete,residential
314,,Metro City I Tower 2,Hong Kong (CN),153.9,505,42,1996,concrete,residential
316,,The Panorama,Hong Kong (CN),153.7,504,52,1999,concrete,residential
317,,Liberte 8,Hong Kong (CN),153.4,503,43,2003,concrete,residential
318,,Century Gateway 2,Hong Kong (CN),153,502,39,2014,concrete,residential
319,,The Zenith 1,Hong Kong (CN),152.7,501,47,2007,concrete,residential
320,,Robinson Place Tower A,Hong Kong (CN),152.7,501,48,1994,concrete,residential
321,,York Place,Hong Kong (CN),152.5,500,40,2009,concrete,residential
322,,Bayshore Apartments,Hong Kong (CN),152.4,500,38,2001,concrete,residential
323,,Thorn Cliff,Hong Kong (CN),152.1,499,46,1982,concrete,residential
324,,World Trade Centre,Hong Kong (CN),151.9,498,40,1975,,office / retail
325,,Nan Fung Plaza 1,Hong Kong (CN),151.5,497,49,2000,concrete,residential
325,,Nan Fung Plaza 2,Hong Kong (CN),151.5,497,49,2000,concrete,residential
327,,New World Tower 1,Hong Kong (CN),151.5,497,43,1980,composite,office
328,,Century Gateway 6,Hong Kong (CN),151.2,496,41,2014,concrete,residential
329,,31 Robinson Road,Hong Kong (CN),151.2,496,-,2007,,residential
330,,Oscar by The Sea Tower 3,Hong Kong (CN),151.1,496,48,2002,concrete,residential
331,,The Seymour,Hong Kong (CN),151,495,48,2012,concrete,residential
332,,Dynasty Court Tower 3-5,Hong Kong (CN),150.9,495,46,1992,concrete,residential
333,,Skyline Tower,Hong Kong (CN),150.7,494,38,2004,,office
334,,East Point City Tower 1,Hong Kong (CN),150.6,494,49,2000,concrete,residential
334,,East Point City Tower 2,Hong Kong (CN),150.6,494,49,2000,concrete,residential
334,,East Point City Tower 3,Hong Kong (CN),150.6,494,49,2000,concrete,residential
334,,East Point City Tower 5,Hong Kong (CN),150.6,494,49,2000,concrete,residential
334,,East Point City Tower 6,Hong Kong (CN),150.6,494,49,2000,concrete,residential
334,,East Point City Tower 7,Hong Kong (CN),150.6,494,49,2000,concrete,residential
334,,East Point City Tower 8,Hong Kong (CN),150.6,494,49,2000,concrete,residential
341,,Queen's Terrace 1,Hong Kong (CN),150.6,494,50,2003,concrete,residential
342,,Royal Penisula 2-5,Hong Kong (CN),150.5,494,50,2001,concrete,residential
343,,Harbour One,Hong Kong (CN),150.3,493,38,2012,,residential
344,,Sun Tuen Mun Centre 1,Hong Kong (CN),150.3,493,48,1991,concrete,residential
344,,Sun Tuen Mun Centre 10,Hong Kong (CN),150.3,493,48,1991,concrete,residential
